Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2022-09-01 00:00:00,Brazil,South Brazil,BR-S,50.44,82.66,91.23,91.14,ons.org.br; Electricity Maps Estimation
2022-09-02 00:00:00,Brazil,South Brazil,BR-S,53.45,85.82,90.71,90.63,ons.org.br; Electricity Maps Estimation
2022-09-03 00:00:00,Brazil,South Brazil,BR-S,45.79,76.95,92.04,92.01,ons.org.br
2022-09-04 00:00:00,Brazil,South Brazil,BR-S,77.09,114.22,86.59,86.19,ons.org.br
2022-09-05 00:00:00,Brazil,South Brazil,BR-S,63.14,97.61,89.02,88.72,ons.org.br
2022-09-06 00:00:00,Brazil,South Brazil,BR-S,59.59,92.93,89.64,89.63,ons.org.br
2022-09-07 00:00:00,Brazil,South Brazil,BR-S,69.34,105.06,87.94,87.92,ons.org.br
2022-09-08 00:00:00,Brazil,South Brazil,BR-S,61.45,95.69,89.31,89.31,ons.org.br
2022-09-09 00:00:00,Brazil,South Brazil,BR-S,55.64,88.43,90.32,90.32,ons.org.br
2022-09-10 00:00:00,Brazil,South Brazil,BR-S,58.23,91.46,89.87,89.87,ons.org.br
2022-09-11 00:00:00,Brazil,South Brazil,BR-S,69.61,105.46,87.89,87.86,ons.org.br
2022-09-12 00:00:00,Brazil,South Brazil,BR-S,59.78,93.54,89.60,89.59,ons.org.br; Electricity Maps Estimation
2022-09-13 00:00:00,Brazil,South Brazil,BR-S,60.05,93.86,89.56,89.53,ons.org.br
